repetitions,iteration,discountfactor,startmove,response,threshhold,zero,negone,gpucbscore,simplescore
1000,-1,0.99,-1.0,-1.0,0.707,0,0,1.3024143469884526,1.3581619081177465
1000,-1,0.99,-1.0,-0.988,0.707,0,0,1.3000318506746729,1.2827637571039512
1000,-1,0.99,-1.0,-0.951,0.707,0,0,1.2682582173931773,1.316957404776502
1000,-1,0.99,-1.0,-0.891,0.707,0,0,1.2697053123813957,1.3175559549858231
1000,-1,0.99,-1.0,-0.809,0.707,0,0,1.2941204415505023,1.3413470428527456
1000,-1,0.99,-1.0,-0.707,0.707,0,0,1.2875888822535155,1.340847821604769
1000,-1,0.99,-1.0,-0.588,0.707,0,0,1.2860681080111098,1.32903862983982
1000,-1,0.99,-1.0,-0.454,0.707,0,0,1.2406730330165388,1.3121020566776616
1000,-1,0.99,-1.0,-0.309,0.707,0,0,1.3103537962965743,1.3437471148908722
1000,-1,0.99,-1.0,-0.156,0.707,0,0,1.3142589967451928,1.3432727144219074
1000,-1,0.99,-1.0,0.0,0.707,0,0,1.299092902782014,1.277778197613507
1000,-1,0.99,-1.0,0.156,0.707,0,0,1.2777177327114435,1.2432311442963437
1000,-1,0.99,-1.0,0.309,0.707,0,0,1.2739619182733297,1.283794502491808
1000,-1,0.99,-1.0,0.454,0.707,0,0,1.2728432883708576,1.2541031595807648
1000,-1,0.99,-1.0,0.588,0.707,0,0,1.301877434105267,1.2982141091125592
1000,-1,0.99,-1.0,0.707,0.707,0,0,1.2987018709264115,1.2932295298836087
1000,-1,0.99,-1.0,0.809,0.707,0,0,1.2995384626370607,1.287375677909375
1000,-1,0.99,-1.0,0.891,0.707,0,0,1.2916735144146196,1.2799370360775746
1000,-1,0.99,-1.0,0.951,0.707,0,0,1.2891143435474484,1.2702772866251764
1000,-1,0.99,-1.0,0.988,0.707,0,0,1.290155704776032,1.2739200859298134
1000,-1,0.99,-1.0,1.0,0.707,0,0,1.2947733031346151,1.2876590602035485
1000,-1,0.99,-0.988,-1.0,0.707,0,0,1.289804539105423,1.3267976900243457
1000,-1,0.99,-0.988,-0.988,0.707,0,0,1.3014909619935158,1.3176773148327414
1000,-1,0.99,-0.988,-0.951,0.707,0,0,1.2690256412001144,1.3022133777575098
1000,-1,0.99,-0.988,-0.891,0.707,0,0,1.2837992063179757,1.318075657059335
1000,-1,0.99,-0.988,-0.809,0.707,0,0,1.284193044751491,1.3325611866282017
