repetitions,iteration,discountfactor,startmove,response,K,nwidth,explore,threshhold,zero,negone,knnscore,simplescore
1000,-1,0.99,-1.0,-1.0,2,0.2,1.0,0.988,-0.692,0.0,0.24746540215445204,0.8648359415766239
1000,-1,0.99,-1.0,-0.988,2,0.2,1.0,0.988,-0.692,0.0,0.24757818212831165,0.8663723920747426
1000,-1,0.99,-1.0,-0.951,2,0.2,1.0,0.988,-0.692,0.0,0.2478189635677033,0.8675624777793461
1000,-1,0.99,-1.0,-0.891,2,0.2,1.0,0.988,-0.692,0.0,0.24836726811861132,0.8688060937759262
1000,-1,0.99,-1.0,-0.809,2,0.2,1.0,0.988,-0.692,0.0,0.24885127865537154,0.868823244072819
1000,-1,0.99,-1.0,-0.707,2,0.2,1.0,0.988,-0.692,0.0,0.24968938898640092,0.8694262482613645
1000,-1,0.99,-1.0,-0.588,2,0.2,1.0,0.988,-0.692,0.0,0.25059664770086876,0.8693871568055889
1000,-1,0.99,-1.0,-0.454,2,0.2,1.0,0.988,-0.692,0.0,0.2516821606627374,0.8692813252656735
1000,-1,0.99,-1.0,-0.309,2,0.2,1.0,0.988,-0.692,0.0,0.2529837557244766,0.8692596117821016
1000,-1,0.99,-1.0,-0.156,2,0.2,1.0,0.988,-0.692,0.0,0.25420888696552923,0.8685252642284867
1000,-1,0.99,-1.0,0.0,2,0.2,1.0,0.988,-0.692,0.0,0.25555709479175587,0.867859348505311
1000,-1,0.99,-1.0,0.156,2,0.2,1.0,0.988,-0.692,0.0,0.2556831027481762,0.8628592706402176
1000,-1,0.99,-1.0,0.309,2,0.2,1.0,0.988,-0.692,0.0,0.25545544996404407,0.8563701726626066
1000,-1,0.99,-1.0,0.454,2,0.2,1.0,0.988,-0.692,0.0,0.25623714842972317,0.853433903504057
1000,-1,0.99,-1.0,0.588,2,0.2,1.0,0.988,-0.692,0.0,0.25609292595873895,0.8480949140839523
1000,-1,0.99,-1.0,0.707,2,0.2,1.0,0.988,-0.692,0.0,0.2558219670715052,0.8420625680020821
1000,-1,0.99,-1.0,0.809,2,0.2,1.0,0.988,-0.692,0.0,0.2555190691815913,0.8362001990202002
1000,-1,0.99,-1.0,0.891,2,0.2,1.0,0.988,-0.692,0.0,0.2552155842041343,0.831063208337513
1000,-1,0.99,-1.0,0.951,2,0.2,1.0,0.988,-0.692,0.0,0.2549427553104562,0.826593710514896
1000,-1,0.99,-1.0,0.988,2,0.2,1.0,0.988,-0.692,0.0,0.2557915045716309,0.8267152668764048
1000,-1,0.99,-1.0,1.0,2,0.2,1.0,0.988,-0.692,0.0,0.25570853425442364,0.8245159863236415
1000,-1,0.99,-0.988,-1.0,2,0.2,1.0,0.988,-0.692,0.0,0.2538644103379039,0.8818876309880902
1000,-1,0.99,-0.988,-0.988,2,0.2,1.0,0.988,-0.692,0.0,0.2539136053476654,0.8832436837549714
