iteration,params,startmove,response,score
0,18,-1.0,-1.0,1.2506418081326713
0,18,-0.988,-1.0,1.2505201454988797
0,18,-0.951,-1.0,1.2512776552017397
0,18,-0.891,-1.0,1.252436917772134
0,18,-0.809,-1.0,1.2528544730019116
0,18,-0.707,-1.0,1.2572317346627064
0,18,-0.588,-1.0,1.2573534051968764
0,18,-0.454,-1.0,1.256578919849068
0,18,-0.309,-1.0,1.2582654689305888
0,18,-0.156,-1.0,1.2499850118711346
0,18,0.0,-1.0,1.241186395920511
0,18,0.156,-1.0,1.2421899138787738
0,18,0.309,-1.0,1.2290589986326965
0,18,0.454,-1.0,1.2315600976061822
0,18,0.588,-1.0,1.2154548939997283
0,18,0.707,-1.0,1.2161082559649623
0,18,0.809,-1.0,1.2187469789557057
0,18,0.891,-1.0,1.2201551839389682
0,18,0.951,-1.0,1.2206085588040043
0,18,0.988,-1.0,1.221494167917589
0,18,1.0,-1.0,1.220415805434707
0,18,-1.0,-0.988,1.2524945644737735
0,18,-0.988,-0.988,1.252505675562429
0,18,-0.951,-0.988,1.2536234505715187
0,18,-0.891,-0.988,1.2536009872741096
0,18,-0.809,-0.988,1.2545854716353988
0,18,-0.707,-0.988,1.2578548951927049
0,18,-0.588,-0.988,1.2587290360724113
0,18,-0.454,-0.988,1.258067269946711
0,18,-0.309,-0.988,1.258591447552651
0,18,-0.156,-0.988,1.250844373709971
0,18,0.0,-0.988,1.24175009496728
0,18,0.156,-0.988,1.2440168013060486
0,18,0.309,-0.988,1.2306861098401318
0,18,0.454,-0.988,1.2321137641173499
0,18,0.588,-0.988,1.2182757526491281
0,18,0.707,-0.988,1.2192396744381186
0,18,0.809,-0.988,1.2212568696044332
0,18,0.891,-0.988,1.2219097380487163
0,18,0.951,-0.988,1.2220224018076074
0,18,0.988,-0.988,1.222495923162188
0,18,1.0,-0.988,1.222861288232499
0,18,-1.0,-0.951,1.253530327358957
0,18,-0.988,-0.951,1.2533640661833836
0,18,-0.951,-0.951,1.2539321378108423
0,18,-0.891,-0.951,1.2545853165842649
0,18,-0.809,-0.951,1.2560944467430273
0,18,-0.707,-0.951,1.2587715013989444
0,18,-0.588,-0.951,1.2604222809817032
0,18,-0.454,-0.951,1.258548192113365
0,18,-0.309,-0.951,1.2602247785558658
0,18,-0.156,-0.951,1.2530798129956038
0,18,0.0,-0.951,1.2441146314200726
0,18,0.156,-0.951,1.2450916903855596
0,18,0.309,-0.951,1.2331819527711518
0,18,0.454,-0.951,1.2344776905929584
0,18,0.588,-0.951,1.2207870683354383
0,18,0.707,-0.951,1.221619810258692
0,18,0.809,-0.951,1.2223001063228587
0,18,0.891,-0.951,1.2232318564109226
0,18,0.951,-0.951,1.2239504890251458
0,18,0.988,-0.951,1.2251820099800728
0,18,1.0,-0.951,1.2248930354897465
0,18,-1.0,-0.891,1.2542223291909074
0,18,-0.988,-0.891,1.2548627760403133
0,18,-0.951,-0.891,1.2544019426210076
0,18,-0.891,-0.891,1.2554670650063147
0,18,-0.809,-0.891,1.2570257847497153
0,18,-0.707,-0.891,1.2590313889565607
0,18,-0.588,-0.891,1.2605519335897954
0,18,-0.454,-0.891,1.2579613400333263
0,18,-0.309,-0.891,1.2608199266534885
0,18,-0.156,-0.891,1.252580584763222
0,18,0.0,-0.891,1.2453910125513064
0,18,0.156,-0.891,1.2470926449591178
0,18,0.309,-0.891,1.2356321075373387
0,18,0.454,-0.891,1.2357163531415851
0,18,0.588,-0.891,1.2227679452368634
0,18,0.707,-0.891,1.2245914289384972
0,18,0.809,-0.891,1.2257305475607785
0,18,0.891,-0.891,1.2265158900454884
0,18,0.951,-0.891,1.2267561167516916
0,18,0.988,-0.891,1.2278420524672513
0,18,1.0,-0.891,1.2280492129951113
0,18,-1.0,-0.809,1.2548068030633086
0,18,-0.988,-0.809,1.2547616351233917
0,18,-0.951,-0.809,1.2556690919652735
0,18,-0.891,-0.809,1.2562130576219301
0,18,-0.809,-0.809,1.2569765605139644
0,18,-0.707,-0.809,1.2586278615131228
0,18,-0.588,-0.809,1.2596417410215845
0,18,-0.454,-0.809,1.2582341758978206
0,18,-0.309,-0.809,1.2591790156784948
0,18,-0.156,-0.809,1.2535335583746998
0,18,0.0,-0.809,1.2461530844026136
0,18,0.156,-0.809,1.2471771157665403
0,18,0.309,-0.809,1.237002566876027
0,18,0.454,-0.809,1.2383127447232214
0,18,0.588,-0.809,1.2278673868160186
0,18,0.707,-0.809,1.2286226466638488
0,18,0.809,-0.809,1.2286470065085628
0,18,0.891,-0.809,1.2289818375855326
0,18,0.951,-0.809,1.2297205815129049
0,18,0.988,-0.809,1.229368708987446
0,18,1.0,-0.809,1.2298866598217868
0,18,-1.0,-0.707,1.254350364651505
0,18,-0.988,-0.707,1.2550948152149202
0,18,-0.951,-0.707,1.2541665001302102
0,18,-0.891,-0.707,1.2550338361290518
0,18,-0.809,-0.707,1.2565101718306118
0,18,-0.707,-0.707,1.2579138684351334
0,18,-0.588,-0.707,1.2585474991601098
0,18,-0.454,-0.707,1.2576688231958
0,18,-0.309,-0.707,1.2591450251860488
0,18,-0.156,-0.707,1.253559562208518
0,18,0.0,-0.707,1.247746777059442
0,18,0.156,-0.707,1.2486513674436492
