repetitions,iteration,discountfactor,startmove,response,bucketcount,radial,exploration,threshhold,zero,negone,ucbscore,simplescore
10000,0,0.999,None,None,4,0,0.0625,0.988,-0.692,0.0,0.3018520002053341,1.2209352982856987
10000,1,0.999,None,None,4,0,0.0625,0.988,-0.692,0.0,0.30267548660991883,1.2566431247920904
10000,2,0.999,None,None,4,0,0.0625,0.988,-0.692,0.0,0.30372342940242747,1.2368267912261044
10000,3,0.999,None,None,4,0,0.0625,0.988,-0.692,0.0,0.3045040953921411,1.1889704606187097
10000,4,0.999,None,None,4,0,0.0625,0.988,-0.692,0.0,0.30262098882059757,1.321052494911726
10000,5,0.999,None,None,4,0,0.0625,0.988,-0.692,0.0,0.30362500211107474,1.3025011561846709
10000,6,0.999,None,None,4,0,0.0625,0.988,-0.692,0.0,0.30287431383532326,1.3679332638485604
10000,7,0.999,None,None,4,0,0.0625,0.988,-0.692,0.0,0.303676596724343,1.2545676397798025
10000,8,0.999,None,None,4,0,0.0625,0.988,-0.692,0.0,0.3022206739867053,1.1270216952293297
10000,9,0.999,None,None,4,0,0.0625,0.988,-0.692,0.0,0.30448819610297817,1.3242560126298193
10000,0,0.999,None,None,4,0,0.0625,0.951,-0.382,0.0,0.6122612743675393,1.189074845889163
10000,1,0.999,None,None,4,0,0.0625,0.951,-0.382,0.0,0.6096326892334144,1.3673302796546698
10000,2,0.999,None,None,4,0,0.0625,0.951,-0.382,0.0,0.6102322899089773,1.3489231187002884
10000,3,0.999,None,None,4,0,0.0625,0.951,-0.382,0.0,0.6127393138974108,1.232499347286276
10000,4,0.999,None,None,4,0,0.0625,0.951,-0.382,0.0,0.6121825444756085,1.27202094055345
10000,5,0.999,None,None,4,0,0.0625,0.951,-0.382,0.0,0.6106488826164089,1.3481775532927982
10000,6,0.999,None,None,4,0,0.0625,0.951,-0.382,0.0,0.6122827077656242,1.2674103405550627
10000,7,0.999,None,None,4,0,0.0625,0.951,-0.382,0.0,0.6114912494564556,1.2444182508990487
10000,8,0.999,None,None,4,0,0.0625,0.951,-0.382,0.0,0.6113204478024785,1.2765072824319539
10000,9,0.999,None,None,4,0,0.0625,0.951,-0.382,0.0,0.6128197049881418,1.2268521683864544
10000,0,0.999,None,None,4,0,0.0625,0.891,-0.093,0.0,0.9003691031490273,1.2317347124729492
10000,1,0.999,None,None,4,0,0.0625,0.891,-0.093,0.0,0.8961157129100149,1.2866715801873019
10000,2,0.999,None,None,4,0,0.0625,0.891,-0.093,0.0,0.8997667954431248,1.2403818854400446
10000,3,0.999,None,None,4,0,0.0625,0.891,-0.093,0.0,0.9013064143748388,1.2418007051057505
10000,4,0.999,None,None,4,0,0.0625,0.891,-0.093,0.0,0.9016148065390703,1.2443179708198828
10000,5,0.999,None,None,4,0,0.0625,0.891,-0.093,0.0,0.8969099043602583,1.2879553228835208
10000,6,0.999,None,None,4,0,0.0625,0.891,-0.093,0.0,0.899089856618657,1.2691888105852707
10000,7,0.999,None,None,4,0,0.0625,0.891,-0.093,0.0,0.8990690826662447,1.2699904312037957
10000,8,0.999,None,None,4,0,0.0625,0.891,-0.093,0.0,0.8970267975024945,1.2866190835262148
10000,9,0.999,None,None,4,0,0.0625,0.891,-0.093,0.0,0.9002036169674194,1.2422649361644547
10000,0,0.999,None,None,4,0,0.0625,0.809,0.0,0.0,1.0882226621525573,1.549249229017479
10000,1,0.999,None,None,4,0,0.0625,0.809,0.0,0.0,1.0877891117566418,1.5449514106212283
10000,2,0.999,None,None,4,0,0.0625,0.809,0.0,0.0,1.0826065658623332,1.5272331556460506
10000,3,0.999,None,None,4,0,0.0625,0.809,0.0,0.0,1.0879913339881848,1.525617054491671
10000,4,0.999,None,None,4,0,0.0625,0.809,0.0,0.0,1.0836181966733753,1.5585076891984644
10000,5,0.999,None,None,4,0,0.0625,0.809,0.0,0.0,1.0872030875623493,1.5225191604205206
10000,6,0.999,None,None,4,0,0.0625,0.809,0.0,0.0,1.0857375672256455,1.5491823103771791
10000,7,0.999,None,None,4,0,0.0625,0.809,0.0,0.0,1.085044803075667,1.5371673035967177
10000,8,0.999,None,None,4,0,0.0625,0.809,0.0,0.0,1.0841233064864517,1.5300683377167807
10000,9,0.999,None,None,4,0,0.0625,0.809,0.0,0.0,1.0896058137310858,1.563836068985421
10000,0,0.999,None,None,4,0,0.0625,0.707,0.0,0.0,1.268881208999365,1.468840720243372
10000,1,0.999,None,None,4,0,0.0625,0.707,0.0,0.0,1.273023229478185,1.4759881843038751
