params,startmove,response,score
36,-1.0,-1.0,1.283498872263944
36,-0.988,-1.0,1.2842334467832084
36,-0.951,-1.0,1.28469260242675
36,-0.891,-1.0,1.2858387510148384
36,-0.809,-1.0,1.2872885964662566
36,-0.707,-1.0,1.2916254374164735
36,-0.588,-1.0,1.2933080848549643
36,-0.454,-1.0,1.2974079909700564
36,-0.309,-1.0,1.2991153587259563
36,-0.156,-1.0,1.2956456365044895
36,0.0,-1.0,1.2922856344199725
36,0.156,-1.0,1.2935432279874681
36,0.309,-1.0,1.2704358240582445
36,0.454,-1.0,1.2717915960026371
36,0.588,-1.0,1.2387711737126978
36,0.707,-1.0,1.238909372525016
36,0.809,-1.0,1.2656012138196047
36,0.891,-1.0,1.266010679495121
36,0.951,-1.0,1.2662768856129667
36,0.988,-1.0,1.2668345605496247
36,1.0,-1.0,1.2684409587943315
36,-1.0,-0.988,1.2856634412848944
36,-0.988,-0.988,1.2857078018156987
36,-0.951,-0.988,1.286945595336644
36,-0.891,-0.988,1.286541253766562
36,-0.809,-0.988,1.2879211411022558
36,-0.707,-0.988,1.293093577288878
36,-0.588,-0.988,1.2945190348790572
36,-0.454,-0.988,1.298786172426591
36,-0.309,-0.988,1.301067185688339
36,-0.156,-0.988,1.2968649246072446
36,0.0,-0.988,1.2932707009195243
36,0.156,-0.988,1.2949409849112998
36,0.309,-0.988,1.2719064894983436
36,0.454,-0.988,1.2733559450838898
36,0.588,-0.988,1.2403038708859864
36,0.707,-0.988,1.241211729398983
36,0.809,-0.988,1.266852167711295
36,0.891,-0.988,1.2677347679772624
36,0.951,-0.988,1.269065185084812
36,0.988,-0.988,1.2686286011721257
36,1.0,-0.988,1.2690412170150174
36,-1.0,-0.951,1.2880773309059703
36,-0.988,-0.951,1.2875083631956574
36,-0.951,-0.951,1.2881387806842404
36,-0.891,-0.951,1.2890533193549978
36,-0.809,-0.951,1.2891118026432786
36,-0.707,-0.951,1.295017584848528
36,-0.588,-0.951,1.2952726413048126
36,-0.454,-0.951,1.2999046954227342
36,-0.309,-0.951,1.3008806470290668
36,-0.156,-0.951,1.2985988708693301
36,0.0,-0.951,1.2945194683970624
36,0.156,-0.951,1.2961267868917998
36,0.309,-0.951,1.2727195692441566
36,0.454,-0.951,1.275270306437423
36,0.588,-0.951,1.2423300806525313
36,0.707,-0.951,1.2427419859517723
36,0.809,-0.951,1.2681103187592624
36,0.891,-0.951,1.2692742289060488
36,0.951,-0.951,1.2700573232375796
36,0.988,-0.951,1.2692938041634922
36,1.0,-0.951,1.2700219577541296
36,-1.0,-0.891,1.2881601885953007
36,-0.988,-0.891,1.2889268565438374
36,-0.951,-0.891,1.289325080716789
36,-0.891,-0.891,1.290209297968221
36,-0.809,-0.891,1.2907894782349525
36,-0.707,-0.891,1.2952518333102203
36,-0.588,-0.891,1.2964874215986586
36,-0.454,-0.891,1.3002384652426624
36,-0.309,-0.891,1.3011249425717752
36,-0.156,-0.891,1.2985694561085441
36,0.0,-0.891,1.2949488379487692
36,0.156,-0.891,1.296521669031993
36,0.309,-0.891,1.274192718042804
36,0.454,-0.891,1.2763053479929873
36,0.588,-0.891,1.2441231662353114
36,0.707,-0.891,1.2439190752140759
36,0.809,-0.891,1.2695756808519094
36,0.891,-0.891,1.270445576899036
36,0.951,-0.891,1.271262184020937
36,0.988,-0.891,1.271331177974024
36,1.0,-0.891,1.2719753499741397
36,-1.0,-0.809,1.289844552023012
36,-0.988,-0.809,1.2904743589556025
36,-0.951,-0.809,1.291285307746017
36,-0.891,-0.809,1.290764297770079
36,-0.809,-0.809,1.2922263529942282
36,-0.707,-0.809,1.2953788023376658
36,-0.588,-0.809,1.296592743889288
36,-0.454,-0.809,1.3002109295281143
36,-0.309,-0.809,1.3010608375377597
36,-0.156,-0.809,1.2981612802310485
36,0.0,-0.809,1.2955934216775884
36,0.156,-0.809,1.297664451710958
36,0.309,-0.809,1.2759487040853519
36,0.454,-0.809,1.2778358760907715
36,0.588,-0.809,1.2447217651758073
36,0.707,-0.809,1.2472381772503434
36,0.809,-0.809,1.2707338152264787
36,0.891,-0.809,1.272174112353519
36,0.951,-0.809,1.2726550244941661
36,0.988,-0.809,1.2723036734991833
36,1.0,-0.809,1.273339094133346
36,-1.0,-0.707,1.291931782117834
36,-0.988,-0.707,1.291216413682858
36,-0.951,-0.707,1.2920836500680424
36,-0.891,-0.707,1.2927682669663907
