epsilon,maxslope,explore,regret
0.5, 2, 0.1, 3.11
0.5, 2, 1, 5.67
0.5, 2, 10, 55.98
0.5, 2, 100, 562.99
0.5, 2, 1000, 4158.86
0.5, 10, 0.1, 5000.50
0.5, 10, 1, 5003.00
0.5, 10, 10, 55.62
0.5, 10, 100, 563.68
0.5, 10, 1000, 5677.79
0.5, 50, 0.1, 5000.50
0.5, 50, 1, 5003.50
0.5, 50, 10, 933.87
0.5, 50, 100, 552.99
0.5, 50, 1000, 6449.62
0.5, 250, 0.1, 5000.63
0.5, 250, 1, 5003.50
0.5, 250, 10, 5028.50
0.5, 250, 100, 553.13
0.5, 250, 1000, 6587.23
0.1, 2, 0.1, 1000.75
0.1, 2, 1, 8.30
0.1, 2, 10, 57.79
0.1, 2, 100, 618.98
0.1, 2, 1000, 2042.30
0.1, 10, 0.1, 1000.90
0.1, 10, 1, 1002.70
0.1, 10, 10, 56.53
0.1, 10, 100, 613.74
0.1, 10, 1000, 2740.26
0.1, 50, 0.1, 1000.90
0.1, 50, 1, 1002.70
0.1, 50, 10, 899.71
0.1, 50, 100, 604.10
0.1, 50, 1000, 2946.40
0.1, 250, 0.1, 1000.90
0.1, 250, 1, 1002.70
0.1, 250, 10, 1030.54
0.1, 250, 100, 609.81
0.1, 250, 1000, 3001.89
0.02, 2, 0.1, 200.70
0.02, 2, 1, 202.81
0.02, 2, 10, 229.60
0.02, 2, 100, 443.02
0.02, 2, 1000, 1502.85
0.02, 10, 0.1, 200.98
0.02, 10, 1, 202.94
0.02, 10, 10, 58.40
0.02, 10, 100, 463.40
0.02, 10, 1000, 2094.90
0.02, 50, 0.1, 200.98
0.02, 50, 1, 202.94
0.02, 50, 10, 227.89
0.02, 50, 100, 468.10
0.02, 50, 1000, 2326.86
0.02, 250, 0.1, 200.98
0.02, 250, 1, 202.94
0.02, 250, 10, 227.21
0.02, 250, 100, 468.14
0.02, 250, 1000, 2381.29
